                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0894,                0.75845,                 1.3972,                0.99662,                      1,                  0.995,                0.67877,                  1.082,                0.72544,                 1.2992,               0.003664,               0.003664,               0.003664
                     66,                 1.1923,                0.81865,                 1.4276,                0.94198,                      1,                 0.9925,                0.67621,                 1.1499,                0.70568,                 1.3371,               0.003565,               0.003565,               0.003565
                     67,                  1.108,                0.80239,                 1.3644,                0.89885,                0.93589,                0.93461,                0.65287,                 1.2398,                0.79421,                 1.4083,               0.003466,               0.003466,               0.003466
                     68,                  1.129,                0.75353,                 1.3741,                0.94965,                0.99303,                 0.9925,                0.61309,                 1.1819,                0.82119,                 1.3662,               0.003367,               0.003367,               0.003367
                     69,                 1.1001,                0.78203,                 1.3605,                0.89838,                0.94737,                0.93319,                 0.6133,                  1.303,                 0.7331,                 1.4654,               0.003268,               0.003268,               0.003268
                     70,                 1.2202,                0.78288,                  1.492,                0.93424,                0.84211,                0.88416,                 0.6331,                 1.2759,                0.72676,                 1.4337,               0.003169,               0.003169,               0.003169
                     71,                 1.1558,                0.82389,                 1.4337,                      1,                0.89282,                 0.9863,                0.67462,                   1.13,                0.77326,                 1.3536,                0.00307,                0.00307,                0.00307
                     72,                 1.1131,                0.78783,                 1.4908,                0.94077,                      1,                 0.9925,                0.62502,                 1.2407,                0.77464,                 1.4109,               0.002971,               0.002971,               0.002971
                     73,                 1.1464,                0.74892,                 1.5129,                0.94029,                      1,                 0.9925,                0.65407,                 1.1196,                 0.7963,                 1.3253,               0.002872,               0.002872,               0.002872
                     74,                 1.1031,                0.67958,                 1.3865,                0.98337,                      1,                  0.995,                0.68106,                 1.1129,                0.69675,                  1.325,               0.002773,               0.002773,               0.002773
                     75,                 1.1064,                0.72473,                 1.3858,                0.99236,                      1,                  0.995,                0.68099,                 1.0683,                0.73619,                 1.2811,               0.002674,               0.002674,               0.002674
                     76,                 1.1275,                0.73906,                 1.4096,                0.98419,                      1,                  0.995,                0.71918,                 1.0183,                0.71071,                 1.2573,               0.002575,               0.002575,               0.002575
                     77,                 1.0458,                0.78117,                 1.3348,                0.88197,                0.89474,                0.88181,                0.64246,                 1.1212,                0.69369,                 1.3339,               0.002476,               0.002476,               0.002476
                     78,                  1.165,                0.80034,                  1.523,                0.99109,                      1,                  0.995,                0.63567,                  1.271,                0.74415,                  1.441,               0.002377,               0.002377,               0.002377
                     79,                 1.1384,                0.73002,                 1.4415,                0.93934,                0.94737,                0.94064,                0.59854,                 1.3298,                0.70754,                 1.4747,               0.002278,               0.002278,               0.002278
                     80,                 1.0516,                0.71275,                 1.3811,                0.99582,                      1,                  0.995,                0.66926,                 1.1107,                0.74167,                 1.2958,               0.002179,               0.002179,               0.002179
                     81,                  1.114,                0.71867,                 1.3648,                0.99623,                      1,                  0.995,                0.60041,                  1.282,                0.73947,                 1.4475,                0.00208,                0.00208,                0.00208
                     82,                 1.0387,                0.70258,                 1.3391,                0.99179,                      1,                  0.995,                0.65309,                 1.1515,                0.67075,                 1.3682,               0.001981,               0.001981,               0.001981
                     83,                 1.0718,                 0.6972,                 1.4045,                0.99426,                      1,                  0.995,                0.62706,                 1.2392,                0.71987,                 1.4019,               0.001882,               0.001882,               0.001882
                     84,                 1.0684,                0.70457,                 1.3547,                0.94226,                0.94737,                0.94073,                0.61951,                 1.3587,                0.74485,                 1.4962,               0.001783,               0.001783,               0.001783
                     85,                0.98717,                0.64798,                 1.3221,                0.93916,                0.94737,                0.94074,                0.56109,                 1.4826,                0.76759,                 1.6198,               0.001684,               0.001684,               0.001684
                     86,                 1.1578,                0.70606,                 1.4203,                0.93893,                0.94737,                0.94046,                0.62114,                 1.2841,                0.80355,                 1.3744,               0.001585,               0.001585,               0.001585
                     87,                 1.0914,                0.68008,                 1.4108,                0.97989,                0.84211,                0.89116,                0.58451,                 1.3298,                0.74488,                 1.4576,               0.001486,               0.001486,               0.001486
                     88,                 1.1054,                0.67601,                 1.4601,                0.93881,                0.94737,                0.94078,                0.64774,                 1.2236,                0.69778,                 1.3714,               0.001387,               0.001387,               0.001387
                     89,                 1.2118,                0.74296,                 1.5531,                0.89204,                0.89474,                0.88538,                0.64838,                 1.1234,                0.64445,                 1.3362,               0.001288,               0.001288,               0.001288
                     90,                0.82952,                0.59189,                 1.2649,                0.88971,                0.89474,                0.88007,                0.62614,                 1.1824,                0.65242,                 1.3854,               0.001189,               0.001189,               0.001189
                     91,                0.89303,                 0.6068,                 1.3425,                0.94227,                0.94737,                0.93257,                0.66036,                 1.1407,                0.65158,                 1.3268,                0.00109,                0.00109,                0.00109
                     92,                0.86015,                0.58644,                  1.359,                0.94219,                0.94737,                0.93501,                0.64031,                 1.1407,                0.65946,                  1.333,               0.000991,               0.000991,               0.000991
                     93,                0.88772,                0.57462,                 1.3436,                0.94689,                0.93881,                0.93231,                 0.6711,                 1.1298,                0.68343,                   1.33,               0.000892,               0.000892,               0.000892
                     94,                 0.9301,                0.57816,                 1.3449,                0.89907,                0.93806,                0.92927,                 0.6546,                 1.1222,                0.70959,                 1.3268,               0.000793,               0.000793,               0.000793
                     95,                0.89492,                0.60343,                  1.365,                 0.9365,                0.89474,                0.93213,                0.64022,                 1.1447,                 0.6844,                 1.3294,               0.000694,               0.000694,               0.000694
                     96,                0.83496,                0.56146,                 1.2886,                0.94329,                0.94737,                0.93772,                0.64892,                 1.1805,                0.65969,                 1.3486,               0.000595,               0.000595,               0.000595
                     97,                 0.8586,                 0.5681,                 1.3243,                0.94219,                0.94737,                0.93776,                0.67159,                 1.1802,                0.66164,                 1.3292,               0.000496,               0.000496,               0.000496
                     98,                0.81301,                0.54945,                 1.2637,                0.94143,                0.94737,                0.94089,                0.64114,                 1.2123,                0.69742,                  1.358,               0.000397,               0.000397,               0.000397
                     99,                0.88126,                0.69517,                 1.3069,                0.94144,                0.94737,                0.94096,                0.62882,                 1.1988,                0.65771,                 1.3604,               0.000298,               0.000298,               0.000298
