                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.3641,                0.95377,                 1.8135,                0.99073,                      1,                  0.995,                0.65668,                 1.2887,                0.87188,                 1.9457,               0.002674,               0.002674,               0.002674
                     76,                 1.2982,                0.91387,                 1.6826,                0.99899,                      1,                  0.995,                0.64646,                 1.2696,                 0.9829,                  1.975,               0.002575,               0.002575,               0.002575
                     77,                  1.321,                0.95544,                 1.7577,                0.97785,                  0.875,                  0.971,                0.67531,                 1.1725,                  1.307,                 1.8528,               0.002476,               0.002476,               0.002476
                     78,                 1.1688,                0.87498,                 1.6484,                0.91179,                  0.875,                0.98167,                0.59206,                 1.2835,                 1.4687,                 2.0064,               0.002377,               0.002377,               0.002377
                     79,                 1.3366,                0.93257,                 1.7107,                0.99736,                      1,                  0.995,                0.65042,                 1.2175,                 0.9694,                 1.9141,               0.002278,               0.002278,               0.002278
                     80,                 1.1967,                0.84406,                 1.6174,                0.99493,                      1,                  0.995,                0.61394,                 1.2049,                0.88243,                 1.8919,               0.002179,               0.002179,               0.002179
                     81,                 1.3528,                0.95737,                 1.7575,                0.99043,                      1,                  0.995,                0.60969,                 1.3111,                 0.9598,                  1.977,                0.00208,                0.00208,                0.00208
                     82,                 1.2656,                0.92169,                 1.7937,                0.99164,                      1,                  0.995,                0.66349,                 1.1942,                0.86146,                 1.9231,               0.001981,               0.001981,               0.001981
                     83,                 1.2747,                0.91611,                 1.7359,                0.99187,                      1,                  0.995,                0.55198,                 1.3005,                0.88369,                 2.0596,               0.001882,               0.001882,               0.001882
                     84,                 1.3235,                0.88797,                 1.7932,                0.99302,                      1,                  0.995,                0.60659,                  1.192,                0.89297,                 1.9076,               0.001783,               0.001783,               0.001783
                     85,                 1.2315,                0.81553,                 1.6347,                 0.9983,                      1,                  0.995,                0.65197,                 1.1536,                0.86214,                 1.8537,               0.001684,               0.001684,               0.001684
                     86,                 1.3611,                0.93407,                 1.8044,                      1,                0.99889,                  0.995,                0.62448,                 1.1665,                0.95026,                 1.8936,               0.001585,               0.001585,               0.001585
                     87,                 1.2438,                0.87965,                 1.7321,                      1,                0.98683,                  0.995,                0.66791,                  1.105,                 1.0136,                 1.8468,               0.001486,               0.001486,               0.001486
                     88,                 1.2989,                0.90418,                 1.7018,                      1,                0.98369,                  0.995,                0.70195,                 1.0302,                0.99277,                 1.7595,               0.001387,               0.001387,               0.001387
